,DATE,VALUE
0,1947-01-01,243.1
1,1947-04-01,246.3
2,1947-07-01,250.1
3,1947-10-01,260.3
4,1948-01-01,266.2
5,1948-04-01,272.9
6,1948-07-01,279.5
7,1948-10-01,280.7
8,1949-01-01,275.4
9,1949-04-01,271.7
10,1949-07-01,273.3
11,1949-10-01,271.0
12,1950-01-01,281.2
13,1950-04-01,290.7
14,1950-07-01,308.5
15,1950-10-01,320.3
16,1951-01-01,336.4
17,1951-04-01,344.5
18,1951-07-01,351.8
19,1951-10-01,356.6
20,1952-01-01,360.2
21,1952-04-01,361.4
22,1952-07-01,368.1
23,1952-10-01,381.2
24,1953-01-01,388.5
25,1953-04-01,392.3
26,1953-07-01,391.7
27,1953-10-01,386.5
28,1954-01-01,385.9
29,1954-04-01,386.7
30,1954-07-01,391.6
31,1954-10-01,400.3
32,1955-01-01,413.8
33,1955-04-01,422.2
34,1955-07-01,430.9
35,1955-10-01,437.8
36,1956-01-01,440.5
37,1956-04-01,446.8
38,1956-07-01,452.0
39,1956-10-01,461.3
40,1957-01-01,470.6
41,1957-04-01,472.8
42,1957-07-01,480.3
43,1957-10-01,475.7
44,1958-01-01,468.4
45,1958-04-01,472.8
46,1958-07-01,486.7
47,1958-10-01,500.4
48,1959-01-01,511.1
49,1959-04-01,524.2
50,1959-07-01,525.2
51,1959-10-01,529.3
52,1960-01-01,543.3
53,1960-04-01,542.7
54,1960-07-01,546.0
55,1960-10-01,541.1
56,1961-01-01,545.9
57,1961-04-01,557.4
58,1961-07-01,568.2
59,1961-10-01,581.6
60,1962-01-01,595.2
61,1962-04-01,602.6
62,1962-07-01,609.6
63,1962-10-01,613.1
64,1963-01-01,622.7
65,1963-04-01,631.8
66,1963-07-01,645.0
67,1963-10-01,654.8
68,1964-01-01,671.1
69,1964-04-01,680.8
70,1964-07-01,692.8
71,1964-10-01,698.4
72,1965-01-01,719.2
73,1965-04-01,732.4
74,1965-07-01,750.2
75,1965-10-01,773.1
76,1966-01-01,797.3
77,1966-04-01,807.2
78,1966-07-01,820.8
79,1966-10-01,834.9
80,1967-01-01,846.0
81,1967-04-01,851.1
82,1967-07-01,866.6
83,1967-10-01,883.2
84,1968-01-01,911.1
85,1968-04-01,936.3
86,1968-07-01,952.3
87,1968-10-01,970.1
88,1969-01-01,995.4
89,1969-04-01,1011.4
90,1969-07-01,1032.0
