,DATE,VALUE
91,1969-10-01,1040.7
92,1970-01-01,1053.5
93,1970-04-01,1070.1
94,1970-07-01,1088.5
95,1970-10-01,1091.5
96,1971-01-01,1137.8
97,1971-04-01,1159.4
98,1971-07-01,1180.3
99,1971-10-01,1193.6
100,1972-01-01,1233.8
101,1972-04-01,1270.1
102,1972-07-01,1293.8
103,1972-10-01,1332.0
104,1973-01-01,1380.7
105,1973-04-01,1417.6
106,1973-07-01,1436.8
107,1973-10-01,1479.1
108,1974-01-01,1494.7
109,1974-04-01,1534.2
110,1974-07-01,1563.4
111,1974-10-01,1603.0
112,1975-01-01,1619.6
113,1975-04-01,1656.4
114,1975-07-01,1713.8
115,1975-10-01,1765.9
116,1976-01-01,1824.5
117,1976-04-01,1856.9
118,1976-07-01,1890.5
119,1976-10-01,1938.4
120,1977-01-01,1992.5
121,1977-04-01,2060.2
122,1977-07-01,2122.4
123,1977-10-01,2168.7
124,1978-01-01,2208.7
125,1978-04-01,2336.6
126,1978-07-01,2398.9
127,1978-10-01,2482.2
128,1979-01-01,2531.6
129,1979-04-01,2595.9
130,1979-07-01,2670.4
131,1979-10-01,2730.7
132,1980-01-01,2796.5
133,1980-04-01,2799.9
134,1980-07-01,2860.0
135,1980-10-01,2993.5
136,1981-01-01,3131.8
137,1981-04-01,3167.3
138,1981-07-01,3261.2
139,1981-10-01,3283.5
140,1982-01-01,3273.8
141,1982-04-01,3331.3
142,1982-07-01,3367.1
143,1982-10-01,3407.8
144,1983-01-01,3480.3
145,1983-04-01,3583.8
146,1983-07-01,3692.3
147,1983-10-01,3796.1
148,1984-01-01,3912.8
149,1984-04-01,4015.0
150,1984-07-01,4087.4
151,1984-10-01,4147.6
152,1985-01-01,4237.0
153,1985-04-01,4302.3
154,1985-07-01,4394.6
155,1985-10-01,4453.1
156,1986-01-01,4516.3
157,1986-04-01,4555.2
158,1986-07-01,4619.6
159,1986-10-01,4669.4
160,1987-01-01,4736.2
161,1987-04-01,4821.5
162,1987-07-01,4900.5
163,1987-10-01,5022.7
164,1988-01-01,5090.6
165,1988-04-01,5207.7
166,1988-07-01,5299.5
167,1988-10-01,5412.7
168,1989-01-01,5527.4
169,1989-04-01,5628.4
170,1989-07-01,5711.6
171,1989-10-01,5763.4
172,1990-01-01,5890.8
173,1990-04-01,5974.7
174,1990-07-01,6029.5
175,1990-10-01,6023.3
176,1991-01-01,6054.9
177,1991-04-01,6143.6
178,1991-07-01,6218.4
179,1991-10-01,6279.3
180,1992-01-01,6380.8
181,1992-04-01,6492.3
182,1992-07-01,6586.5
183,1992-10-01,6697.6
184,1993-01-01,6748.2
185,1993-04-01,6829.6
186,1993-07-01,6904.2
187,1993-10-01,7032.8
188,1994-01-01,7136.3
189,1994-04-01,7269.8
190,1994-07-01,7352.3
191,1994-10-01,7476.7
192,1995-01-01,7545.3
193,1995-04-01,7604.9
194,1995-07-01,7706.5
195,1995-10-01,7799.5
196,1996-01-01,7893.1
197,1996-04-01,8061.5
198,1996-07-01,8159.0
199,1996-10-01,8287.1
200,1997-01-01,8402.1
201,1997-04-01,8551.9
202,1997-07-01,8691.8
203,1997-10-01,8788.3
204,1998-01-01,8889.7
205,1998-04-01,8994.7
206,1998-07-01,9146.5
207,1998-10-01,9325.7
208,1999-01-01,9447.1
209,1999-04-01,9557.0
210,1999-07-01,9712.3
211,1999-10-01,9926.1
212,2000-01-01,10031.0
213,2000-04-01,10278.3
214,2000-07-01,10357.4
215,2000-10-01,10472.3
216,2001-01-01,10508.1
217,2001-04-01,10638.4
218,2001-07-01,10639.5
219,2001-10-01,10701.3
220,2002-01-01,10834.4
221,2002-04-01,10934.8
222,2002-07-01,11037.1
223,2002-10-01,11103.8
224,2003-01-01,11230.1
225,2003-04-01,11370.7
226,2003-07-01,11625.1
227,2003-10-01,11816.8
228,2004-01-01,11988.4
229,2004-04-01,12181.4
230,2004-07-01,12367.7
231,2004-10-01,12562.2
232,2005-01-01,12813.7
233,2005-04-01,12974.1
234,2005-07-01,13205.4
235,2005-10-01,13381.6
236,2006-01-01,13648.9
237,2006-04-01,13799.8
238,2006-07-01,13908.5
239,2006-10-01,14066.4
240,2007-01-01,14233.2
241,2007-04-01,14422.3
242,2007-07-01,14569.7
243,2007-10-01,14685.3
244,2008-01-01,14668.4
245,2008-04-01,14813.0
246,2008-07-01,14843.0
247,2008-10-01,14549.9
248,2009-01-01,14383.9
249,2009-04-01,14340.4
250,2009-07-01,14384.1
251,2009-10-01,14566.5
252,2010-01-01,14681.1
253,2010-04-01,14888.6
254,2010-07-01,15057.7
255,2010-10-01,15230.2
256,2011-01-01,15238.4
257,2011-04-01,15460.9
258,2011-07-01,15587.1
259,2011-10-01,15785.3
260,2012-01-01,15973.9
261,2012-04-01,16121.9
262,2012-07-01,16227.9
263,2012-10-01,16297.3
264,2013-01-01,16475.4
265,2013-04-01,16541.4
266,2013-07-01,16749.3
267,2013-10-01,16999.9
268,2014-01-01,17025.2
269,2014-04-01,17285.6
270,2014-07-01,17569.4
271,2014-10-01,17692.2
272,2015-01-01,17783.6
273,2015-04-01,17998.3
274,2015-07-01,18141.9
275,2015-10-01,18222.8
276,2016-01-01,18281.6
277,2016-04-01,18436.5
