,Date,Price
0,1970-01-01,3.35
1,1970-02-01,3.35
2,1970-03-01,3.35
3,1970-04-01,3.35
4,1970-05-01,3.35
5,1970-06-01,3.35
6,1970-07-01,3.31
7,1970-08-01,3.31
8,1970-09-01,3.31
9,1970-10-01,3.31
10,1970-11-01,3.31
11,1970-12-01,3.56
12,1971-01-01,3.56
13,1971-02-01,3.56
14,1971-03-01,3.56
15,1971-04-01,3.56
16,1971-05-01,3.56
17,1971-06-01,3.56
18,1971-07-01,3.56
19,1971-08-01,3.56
20,1971-09-01,3.56
21,1971-10-01,3.56
22,1971-11-01,3.56
23,1971-12-01,3.56
24,1972-01-01,3.56
25,1972-02-01,3.56
26,1972-03-01,3.56
27,1972-04-01,3.56
28,1972-05-01,3.56
29,1972-06-01,3.56
30,1972-07-01,3.56
31,1972-08-01,3.56
32,1972-09-01,3.56
33,1972-10-01,3.56
34,1972-11-01,3.56
35,1972-12-01,3.56
36,1973-01-01,3.56
37,1973-02-01,3.56
38,1973-03-01,3.56
39,1973-04-01,3.56
40,1973-05-01,3.56
41,1973-06-01,3.56
42,1973-07-01,3.56
43,1973-08-01,4.31
44,1973-09-01,4.31
45,1973-10-01,4.31
46,1973-11-01,4.31
47,1973-12-01,4.31
48,1974-01-01,10.11
49,1974-02-01,10.11
50,1974-03-01,10.11
51,1974-04-01,10.11
52,1974-05-01,10.11
53,1974-06-01,10.11
54,1974-07-01,10.11
55,1974-08-01,10.11
56,1974-09-01,10.11
57,1974-10-01,11.16
58,1974-11-01,11.16
59,1974-12-01,11.16
60,1975-01-01,11.16
61,1975-02-01,11.16
62,1975-03-01,11.16
63,1975-04-01,11.16
64,1975-05-01,11.16
65,1975-06-01,11.16
66,1975-07-01,11.16
67,1975-08-01,11.16
68,1975-09-01,11.16
69,1975-10-01,11.16
70,1975-11-01,11.16
71,1975-12-01,11.16
72,1976-01-01,11.16
73,1976-02-01,12.03
74,1976-03-01,12.1
75,1976-04-01,12.17
76,1976-05-01,12.17
77,1976-06-01,12.17
78,1976-07-01,12.17
79,1976-08-01,12.17
80,1976-09-01,13.9
81,1976-10-01,13.9
82,1976-11-01,13.9
83,1976-12-01,13.9
84,1977-01-01,13.9
85,1977-02-01,13.9
86,1977-03-01,13.9
87,1977-04-01,13.9
88,1977-05-01,13.9
89,1977-06-01,13.9
90,1977-07-01,13.9
91,1977-08-01,14.85
92,1977-09-01,14.85
93,1977-10-01,14.85
94,1977-11-01,14.85
95,1977-12-01,14.85
96,1978-01-01,14.85
97,1978-02-01,14.85
98,1978-03-01,14.85
99,1978-04-01,14.85
100,1978-05-01,14.85
101,1978-06-01,14.85
102,1978-07-01,14.85
103,1978-08-01,14.85
104,1978-09-01,14.85
105,1978-10-01,14.85
106,1978-11-01,14.85
107,1978-12-01,14.85
108,1979-01-01,14.85
109,1979-02-01,15.85
110,1979-03-01,15.85
111,1979-04-01,15.85
112,1979-05-01,18.1
113,1979-06-01,19.1
114,1979-07-01,21.75
115,1979-08-01,26.5
116,1979-09-01,28.5
117,1979-10-01,29.0
118,1979-11-01,31.0
119,1979-12-01,32.5
120,1980-01-01,32.5
121,1980-02-01,37.0
122,1980-03-01,38.0
123,1980-04-01,39.5
124,1980-05-01,39.5
125,1980-06-01,39.5
126,1980-07-01,39.5
127,1980-08-01,38.0
128,1980-09-01,36.0
129,1980-10-01,36.0
130,1980-11-01,36.0
131,1980-12-01,37.0
132,1981-01-01,38.0
133,1981-02-01,38.0
134,1981-03-01,38.0
135,1981-04-01,38.0
136,1981-05-01,38.0
137,1981-06-01,36.0
138,1981-07-01,36.0
139,1981-08-01,36.0
140,1981-09-01,36.0
141,1981-10-01,35.0
142,1981-11-01,36.0
143,1981-12-01,35.0
144,1982-01-01,33.85
145,1982-02-01,31.56
146,1982-03-01,28.48
147,1982-04-01,33.45
148,1982-05-01,35.93
149,1982-06-01,35.07
150,1982-07-01,34.16
151,1982-08-01,33.95
152,1982-09-01,35.63
153,1982-10-01,35.68
154,1982-11-01,34.15
155,1982-12-01,31.72
